id,value,prev,curr
"all;python;ld-2;_dl_lookup_symbol_x",3584720,3584720,0
"all;python;ld-2;do_lookup_x",1423695,0,1423695
"all;python;ld-2;open_path",2851262,1196532,1654730
"all;python;libc-2",,,
"all;python;libc-2;__getcwd",2067256,0,2067256
"all;python;libc-2;__memcmp_sse4_1",5027688,1608538,3419150
"all;python;libc-2;__memcpy_ssse3_back",4737590,4737590,0
"all;python;libc-2;__memmove_sse2",2146757,0,2146757
"all;python;libc-2;__GI___libc_open",1337141,0,1337141
"all;python;libc-2;__getdents64",1611853,0,1611853
"all;python;libc-2;__xstat64",1452582,1452582,0
"all;python;libc-2;__memset_sse2",5019508,3605200,1414308
"all;python;libpython3",,,
"all;python;libpython3;_PyUnicode_FromUCS1",1892948,0,1892948
"all;python;libpython3;_PyPegen_is_memoized",3989125,2047548,1941577
"all;python;libpython3;_PyObject_GetDictPtr",1536925,0,1536925
"all;python;libpython3;_Py_Dealloc",2046562,2046562,0
"all;python;libpython3;lookdict_unicode",3254210,3254210,0
"all;python;libpython3;k_mul",1655736,1655736,0
"all;python;libpython3;PyMember_GetOne",1669782,1669782,0
"all;python;libpython3;_copy_characters.part.0",1537081,0,1537081
"all;python;libpython3;PyObject_IsInstance",2087255,0,2087255
"all;python;libpython3;PyUnicode_Append",1589257,1589257,0
"all;python;libpython3;ascii_decode",7094286,3679536,3414750
"all;python;libpython3;PyFloat_FromDouble",1920217,0,1920217
"all;python;libpython3;collect",3183141,3183141,0
"all;python;libpython3;PyFunction_NewWithQualName",2288688,2288688,0
"all;python;libpython3;unicode_encode_utf8",1788039,0,1788039
"all;python;libpython3;_PyUnicodeWriter_WriteStr",1894955,0,1894955
"all;python;libpython3;fill_time",5020037,3319917,1700120
"all;python;libpython3;object_dealloc",3362539,0,3362539
"all;python;libpython3;set_add_entry",1845744,1845744,0
"all;python;libpython3;StopIteration_dealloc",1143680,1143680,0
"all;python;libpython3;unicode_hash",3541754,1811176,1730578
"all;python;libpython3;siphash24",1856593,0,1856593
"all;python;libpython3;PyDict_SetDefault",6860197,6860197,0
"all;python;libpython3;PyLong_FromLongLong@plt",1683049,1683049,0
"all;python;libpython3;_Py_NewReference",3960200,3960200,0
"all;python;libpython3;_PyObject_GetMethod",5076523,3427410,1649113
"all;python;libpython3;PyUnicode_FromWideChar",1097529,1097529,0
"all;python;libpython3;_PyObject_Call",1637284,0,1637284
"all;python;libpython3;PyErr_Occurred",2673863,1093018,1580845
"all;python;libpython3;_PyLong_New",1561922,0,1561922
"all;python;libpython3;frame_dealloc",1650441,0,1650441
"all;python;libpython3;PyLong_FromUnsignedLong",1477517,0,1477517
"all;python;libpython3;PyLong_FromSsize_t",1265671,0,1265671
"all;python;libpython3;update_one_slot",8485965,3129877,5356088
"all;python;libpython3;visit_decref",1574262,0,1574262
"all;python;libpython3;PyObject_IsSubclass",1644470,1644470,0
"all;python;libpython3;PyUnicode_RichCompare",1703835,0,1703835
"all;python;libpython3;lookdict_unicode_nodummy",20409242,10388520,10020722
"all;python;libpython3;_PyTrash_end",1686440,0,1686440
"all;python;libpython3;_PyPegen_update_memo",1837316,0,1837316
"all;python;libpython3;visit_reachable",1798638,1798638,0
"all;python;libpython3;PyTuple_Size@plt",1559649,0,1559649
"all;python;libpython3;dictresize",2043252,0,2043252
"all;python;libpython3;_PyEval_EvalCode",6872396,4935121,1937275
"all;python;libpython3;small_stmt_rule",2059315,2059315,0
"all;python;libpython3;_PyDict_GetItem_KnownHash",1752192,0,1752192
"all;python;libpython3;_PyObject_Malloc",9861883,3371286,6490597
"all;python;libpython3;PyList_Append",1472031,0,1472031
"all;python;libpython3;structseq_dealloc",4522993,1970032,2552961
"all;python;libpython3;_PyEval_EvalFrameDefault",70618230,29640168,40978062
"all;python;libpython3;tupledealloc",3037313,3037313,0
"all;python;libpython3;_PyType_LookupId",1373668,0,1373668
"all;python;libpython3;PyObject_Free",1526892,0,1526892
"all;python;libpython3;set_traverse",1563456,0,1563456
"all;python;libpython3;PyTuple_New",1468802,1468802,0
"all;python;libpython3;PyType_GenericAlloc",1684217,0,1684217
"all;python;libpython3;PyType_IsSubtype",1833275,1833275,0
"all;python;libpython3;type_mro_modified",2091233,2091233,0
"all;python;libpython3;PyUnicode_InternInPlace",3101798,3101798,0
"all;python;libpython3;method_vectorcall_VARARGS_KEYWORDS",1622789,1622789,0
"all;python;libpython3;_PyObject_Calloc",1687439,0,1687439
"all;python;libpython3;cfunction_vectorcall_NOARGS",1675414,1675414,0
"all;python;libpython3;resize_compact",1600800,1600800,0
"all;python;libpython3;_Py_NewReference@plt",1631057,1631057,0
"all;python;libpython3;_PyDict_GetItemIdWithError",1534249,0,1534249
"all;python;libpython3;PyUnicode_New",2080307,0,2080307
"all;python;libpython3;dict_ass_sub",1855460,1855460,0
"all;python;libpython3;PyIndex_Check@plt",1877509,1877509,0
"all;python;libpython3;allocate_from_new_pool",1665804,1665804,0
"all;python;libpython3;_PyPegen_expect_token",3330065,0,3330065
"all;python;libpython3;member_get",1639213,0,1639213
"all;python;libpython3;_PyDict_GetItemId@plt",1778480,0,1778480
"all;python;libpython3;method_vectorcall_O",2065303,2065303,0
"all;python;libpython3;set_lookkey",1682041,1682041,0
"all;python;libpython3;PyDict_GetItemWithError",2795828,1499878,1295950
"all;python;libpython3;r_object",1579089,1579089,0
"all;python;libpython3;PyObject_IS_GC",1623787,0,1623787
"all;python;libpython3;sre_ucs1_match",3944384,0,3944384
"all;python;libpython3;PyNumber_Add",1469811,1469811,0
"all;python;libpython3;_PyType_Lookup",6393547,2954577,3438970
"all;python;libpython3;lookdict",2136866,2136866,0
"all;python;libpython3;PyCode_NewWithPosOnlyArgs",2032190,0,2032190
"all;python;libpython3;_Py_CheckFunctionResult",3307435,0,3307435
"all;python;libpython3;PyType_Ready",3214600,3214600,0
"all;python;libpython3;w_complex_object",1973336,0,1973336
"all;python;libpython3;insertdict",3112135,1215506,1896629
"all;python;libpython3;lookdict_split",1928249,1928249,0
"all;python;libpython3;PyTuple_Size",2155080,0,2155080
"all;python;libpython3;_PyDict_Pop@plt",1621091,1621091,0
"all;python;libpython3;PyIter_Next",2004610,2004610,0
"all;python;libpython3;x_add",1617388,0,1617388
"all;python;libpython3;sre_ucs1_count",1972646,1972646,0
"all;python;libpython3;PyModule_AddObject",2066223,2066223,0
"all;python;libpython3;_PyTuple_FromArray",1223523,0,1223523
"all;python;libpython3;_PyObject_Free",10469273,4369465,6099808
"all;python;libpython3;take_gil",1810860,0,1810860
"all;python;libpython3;PyObject_GetAttr",1679131,1679131,0
"all;python;libpython3;_PyObject_GenericGetAttrWithDict",12801219,7737255,5063964
"all;athena.py",,,
"all;athena.py;libG4AtlasToolsLib",,,
"all;athena.py;libG4AtlasToolsLib;SensitiveDetectorMasterTool::EndOfAthenaEvent",2062489,2062489,0
"all;athena.py;libG4AtlasToolsLib;__tls_get_addr@plt",4160480627,2072254713,2088225914
"all;athena.py;libG4AtlasToolsLib;G4MuonMinus::Definition@plt",247040838,89279413,157761425
"all;athena.py;libG4AtlasToolsLib;G4FieldTrack::G4FieldTrack@plt",342752855,168285301,174467554
"all;athena.py;libG4AtlasToolsLib;G4EquationOfMotion::RightHandSide@plt",1947869661,1102762338,845107323
"all;athena.py;libG4AtlasToolsLib;field_utils::absoluteError@plt",1956576483,1142398563,814177920
"all;athena.py;libG4AtlasToolsLib;G4RKIntegrationDriver<G4AtlasRK4>::ComputeNewStepSize",4430209809,2191252365,2238957444
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::AdvanceChordLimited",65242421437,40868325852,24374095585
"all;athena.py;libG4AtlasToolsLib;G4FieldManager::SetDetectorField@plt",12435360,0,12435360
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::DoesReIntegrate",4427515961,2297185405,2130330556
"all;athena.py;libG4AtlasToolsLib;G4FieldTrack::operator=",27275736948,17123805921,10151931027
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::AccurateAdvance",122263521607,63731805472,58531716135
"all;athena.py;libG4AtlasToolsLib;G4RKIntegrationDriver<G4AtlasRK4>::ComputeNewStepSize@plt",683232068,332204041,351028027
"all;athena.py;libG4AtlasToolsLib;field_utils::relativeError2@plt",326222316,139277227,186945089
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::OneGoodStep@plt",3335500873,1660747548,1674753325
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::OneGoodStep",94020323872,46938561784,47081762088
"all;athena.py;libG4AtlasToolsLib;G4ChordFinderDelegate<G4IntegrationDriver<G4AtlasRK4> >::FindNextChord@plt",6722581828,4801684474,1920897354
"all;athena.py;libG4AtlasToolsLib;SensitiveDetectorBase::assignSD",12432438,6210735,6221703
"all;athena.py;libG4AtlasToolsLib;field_utils::copy@plt",168256253,99704675,68551578
"all;athena.py;libG4AtlasToolsLib;DetectorGeometryBase::BuildSubDetectors",2077059,0,2077059
"all;athena.py;libG4AtlasToolsLib;SensitiveDetectorBase::getSD",4146163,0,4146163
"all;athena.py;libG4AtlasToolsLib;G4FieldTrack::LoadFromArray@plt",589888000,317811024,272076976
"all;athena.py;libG4AtlasToolsLib;TightMuonSteppingFieldManager::ConfigureForTrack",60444734184,37406081451,23038652733
"all;athena.py;libG4AtlasToolsLib;SwitchingFieldManager::ConfigureForTrack",5437639708,0,5437639708
"all;athena.py;libG4AtlasToolsLib;RegionCreator::Dump",1992032,1992032,0
"all;athena.py;libG4AtlasToolsLib;RegionCreator::Construct",82415078,47656627,34758451
"all;athena.py;libG4AtlasToolsLib;VoxelDensityTool::postGeometryConfigure",3917268,1973715,1943553
"all;athena.py;libG4AtlasToolsLib;pow@plt",3323257465,1615084315,1708173150
"all;athena.py;libG4AtlasToolsLib;G4MuonPlus::Definition@plt",1542770349,832835258,709935091
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::OnStartTracking",32813760088,21525846890,11287913198
"all;athena.py;libG4AtlasToolsLib;G4RKIntegrationDriver<G4AtlasRK4>::GetEquationOfMotion",45213575856,25622503758,19591072098
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::QuickAdvance",60479824039,39161183225,21318640814
"all;athena.py;libG4AtlasToolsLib;G4EquationOfMotion::RightHandSide",66108521250,40693276170,25415245080
"all;athena.py;libG4AtlasToolsLib;G4IntegrationDriver<G4AtlasRK4>::OnComputeStep",5071077035,2193193674,2877883361
"all;athena.py;libG4AtlasToolsLib;G4ChordFinderDelegate<G4IntegrationDriver<G4AtlasRK4> >::FindNextChord",154200884996,95399739381,58801145615
"all;athena.py;libMinBiasScintillator",,,
"all;athena.py;libMinBiasScintillator;virtual thunk to MinBiasScintillatorSDTool::Gather()",2072971,2072971,0
"all;athena.py;libMinBiasScintillator;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>",24912191,8303712,16608479
"all;athena.py;libMinBiasScintillator;memcpy@plt",37368803,18685549,18683254
"all;athena.py;libMinBiasScintillator;MinBiasScintillatorSD::BirkLaw",58140934,39448369,18692565
"all;athena.py;libMinBiasScintillator;MinBiasScintillatorSD::ProcessHits",992413918,552330168,440083750
"all;athena.py;libMinBiasScintillator;TileSimHit::TileSimHit@plt",2076791,0,2076791
"all;athena.py;libMinBiasScintillator;std::vector<TileHit, std::allocator<TileHit> >::_M_realloc_insert<TileHit>",2073377,2073377,0
"all;athena.py;libMinBiasScintillator;MinBiasScintillatorSD::BirkLaw@plt",4154622,2076925,2077697
"all;athena.py;libMinBiasScintillator;strtol@plt",18691209,10387239,8303970
"all;athena.py;libMinBiasScintillator;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create@plt",22843582,16612406,6231176
"all;athena.py;libMinBiasScintillator;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>",45676814,31140885,14535929
"all;athena.py;libSGComps",,,
"all;athena.py;libSGComps;ProxyProviderSvc::contextFromStore",2065162,0,2065162
"all;athena.py;libSGComps;SG::Folder::begin",2077061,2077061,0
"all;athena.py;libSGComps;std::_Rb_tree<SG::FolderItem, SG::FolderItem, std::_Identity<SG::FolderItem>, std::less<SG::FolderItem>, std::allocator<SG::FolderItem> >::_M_get_insert_unique_pos",4147318,2077450,2069868
"all;athena.py;libSGComps;ProxyProviderSvc::retrieveProxy",2073214,2073214,0
"all;athena.py;libTileSimEventTPCnv",,,
"all;athena.py;libTileSimEventTPCnv;TileHitCnv_p1::transToPers",29056169,20751562,8304607
"all;athena.py;libLArSimEvent",,,
"all;athena.py;libLArSimEvent;operator delete@plt",10218843,8262714,1956129
"all;athena.py;libLArSimEvent;AthenaHitsVector<LArHit>::AthenaHitsVector",2074921,2074921,0
"all;athena.py;libLArSimEvent;LArHitContainer::~LArHitContainer",75264465,48637585,26626880
"all;athena.py;libHepMC",,,
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_erase",18648248,6217609,12430639
"all;athena.py;libHepMC;HepMC::GenParticle::parent_event@plt",8279565,2072473,6207092
"all;athena.py;libHepMC;HepMC::GenParticle::~GenParticle",7936449,4131341,3805108
"all;athena.py;libHepMC;HepMC::GenVertex::edge_iterator::~edge_iterator@plt",2071655,0,2071655
"all;athena.py;libHepMC;HepMC::GenEvent::delete_all_vertices",37187781,10023464,27164317
"all;athena.py;libHepMC;HepMC::GenVertex::set_parent_event_",24896525,12459629,12436896
"all;athena.py;libHepMC;std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::_M_sync@plt",2073766,0,2073766
"all;athena.py;libHepMC;HepMC::GenParticle::set_end_vertex_",12435442,10364660,2070782
"all;athena.py;libHepMC;HepMC::GenParticle::set_production_vertex_",28753849,12401606,16352243
"all;athena.py;libHepMC;std::_Rb_tree<HepMC::GenVertex const*, std::pair<HepMC::GenVertex const* const, HepMC::GenVertex*>, std::_Select1st<std::pair<HepMC::GenVertex const* const, HepMC::GenVertex*> >, std::less<HepMC::GenVertex const*>, std::allocator<std::pair<HepMC::GenVertex const* const, HepMC::GenVertex*> > >::_M_erase",8282316,4147635,4134681
"all;athena.py;libHepMC;HepMC::Flow::~Flow",138016570,78388937,59627633
"all;athena.py;libHepMC;HepMC::Flow::Flow",14522044,8305549,6216495
"all;athena.py;libHepMC;std::vector<HepMC::GenParticle*, std::allocator<HepMC::GenParticle*> >::_M_realloc_insert@plt",2077358,0,2077358
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_copy<false, std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_Alloc_node>",36740561,22240851,14499710
"all;athena.py;libHepMC;HepMC::GenEvent::set_barcode",414525849,242840431,171685418
"all;athena.py;libHepMC;HepMC::GenParticle::GenParticle",10355884,8276683,2079201
"all;athena.py;libHepMC;HepMC::GenEvent::set_barcode@plt",2001257,2001257,0
"all;athena.py;libHepMC;HepMC::GenEvent::add_vertex",68457729,43446512,25011217
"all;athena.py;libHepMC;HepMC::GenVertex::add_particle_in",75781411,33208741,42572670
"all;athena.py;libHepMC;HepMC::GenVertex::add_particle_out",58090318,31128794,26961524
"all;athena.py;libHepMC;std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >::_M_get_insert_unique_pos@plt",2078199,0,2078199
"all;athena.py;libHepMC;std::locale::~locale@plt",2080192,0,2080192
"all;athena.py;libHepMC;HepMC::GenVertex::suggest_barcode@plt",2070664,0,2070664
"all;athena.py;libHepMC;operator delete@plt",3861138,1790113,2071025
"all;athena.py;libHepMC;HepMC::Polarization::valid_theta",28806705,10336859,18469846
"all;athena.py;libHepMC;HepMC::GenParticle::suggest_barcode",12442823,4150399,8292424
"all;athena.py;libHepMC;HepMC::WeightContainer::WeightContainer",29068592,14531183,14537409
"all;athena.py;libHepMC;HepMC::Polarization::valid_phi",4145247,2077986,2067261
"all;athena.py;libHepMC;HepMC::GenVertex::delete_adopted_particles",164300524,83295174,81005350
"all;athena.py;libHepMC;std::vector<HepMC::GenParticle*, std::allocator<HepMC::GenParticle*> >::_M_realloc_insert",49597908,20746196,28851712
"all;athena.py;libHepMC;memmove@plt",4151347,0,4151347
"all;athena.py;libHepMC;HepMC::GenParticle::set_production_vertex_@plt",2067089,0,2067089
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, HepMC::GenVertex*>, std::_Select1st<std::pair<int const, HepMC::GenVertex*> >, std::greater<int>, std::allocator<std::pair<int const, HepMC::GenVertex*> > >::_M_insert_unique_<std::_Rb_tree<int, std::pair<int const, HepMC::GenVertex*>, std::_Select1st<std::pair<int const, HepMC::GenVertex*> >, std::greater<int>, std::allocator<std::pair<int const, HepMC::GenVertex*> > >::_Alloc_node>",47599777,24905167,22694610
"all;athena.py;libHepMC;HepMC::WeightContainer::set_default_names@plt",6228007,2078376,4149631
"all;athena.py;libHepMC;HepMC::GenVertex::edge_iterator::operator*",12255941,12255941,0
"all;athena.py;libHepMC;HepMC::GenParticle::generated_mass",4008622,4008622,0
"all;athena.py;libHepMC;HepMC::GenVertex::edge_iterator::edge_iterator",2065114,0,2065114
"all;athena.py;libHepMC;HepMC::Polarization::valid_phi@plt",2074234,2074234,0
"all;athena.py;libHepMC;HepMC::WeightContainer::set_default_names",122530686,68543600,53987086
"all;athena.py;libHepMC;HepMC::GenVertex::GenVertex",41424476,16615123,24809353
"all;athena.py;libHepMC;HepMC::GenVertex::particle_iterator::operator*",1927639,0,1927639
"all;athena.py;libHepMC;HepMC::GenVertex::set_parent_event_@plt",2077640,0,2077640
"all;athena.py;libHepMC;std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >::_M_insert_unique_<std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >::_Alloc_node>",31086219,12461385,18624834
"all;athena.py;libHepMC;std::_Rb_tree_insert_and_rebalance@plt",6228032,6228032,0
"all;athena.py;libHepMC;HepMC::GenEvent::~GenEvent",3852032,0,3852032
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, HepMC::GenParticle*>, std::_Select1st<std::pair<int const, HepMC::GenParticle*> >, std::less<int>, std::allocator<std::pair<int const, HepMC::GenParticle*> > >::erase",88706099,55765785,32940314
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, HepMC::GenParticle*>, std::_Select1st<std::pair<int const, HepMC::GenParticle*> >, std::less<int>, std::allocator<std::pair<int const, HepMC::GenParticle*> > >::_M_insert_unique_<std::_Rb_tree<int, std::pair<int const, HepMC::GenParticle*>, std::_Select1st<std::pair<int const, HepMC::GenParticle*> >, std::less<int>, std::allocator<std::pair<int const, HepMC::GenParticle*> > >::_Alloc_node>",35297068,14525722,20771346
"all;athena.py;libHepMC;HepMC::GenVertex::edge_iterator::operator=",6184600,0,6184600
"all;athena.py;libHepMC;HepMC::GenVertex::particle_iterator::advance_to_first_",4141866,2073620,2068246
"all;athena.py;libHepMC;HepMC::GenVertex::~GenVertex",5904440,1771487,4132953
"all;athena.py;libHepMC;HepMC::GenVertex::suggest_barcode",26970014,12441211,14528803
"all;athena.py;libHepMC;std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >::_M_copy<false, std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >::_Alloc_node>",4153324,2072803,2080521
"all;athena.py;libHepMC;HepMC::GenVertex::vertex_iterator::~vertex_iterator",4147746,4147746,0
"all;athena.py;libHepMC;HepMC::GenVertex::edge_iterator::operator++@plt",1903485,0,1903485
"all;athena.py;libHepMC;std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace@plt",4150172,0,4150172
"all;athena.py;libHepMC;std::_Rb_tree<int, std::pair<int const, HepMC::GenVertex*>, std::_Select1st<std::pair<int const, HepMC::GenVertex*> >, std::greater<int>, std::allocator<std::pair<int const, HepMC::GenVertex*> > >::erase",9760004,9760004,0
"all;athena.py;libHepMC;operator new@plt",27006467,16607426,10399041
"all;athena.py;libHepMC;std::locale::locale@plt",2076104,2076104,0
"all;athena.py;libHepMC;HepMC::Polarization::Polarization",4150809,2073868,2076941
"all;athena.py;libHepMC;std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >::_M_erase",5963029,0,5963029
"all;athena.py;libHepMC;HepMC::GenParticle::parent_event",179148644,100436976,78711668
"all;athena.py;libHepMC;HepMC::GenEvent::GenEvent",200636163,108845206,91790957
"all;athena.py;libHepMC;std::_Rb_tree_rebalance_for_erase@plt",2081424,2081424,0
"all;athena.py;libHepMC;std::_Rb_tree<HepMC::GenVertex const*, std::pair<HepMC::GenVertex const* const, HepMC::GenVertex*>, std::_Select1st<std::pair<HepMC::GenVertex const* const, HepMC::GenVertex*> >, std::less<HepMC::GenVertex const*>, std::allocator<std::pair<HepMC::GenVertex const* const, HepMC::GenVertex*> > >::_M_insert_unique_<std::_Rb_tree<HepMC::GenVertex const*, std::pair<HepMC::GenVertex const* const, HepMC::GenVertex*>, std::_Select1st<std::pair<HepMC::GenVertex const* const, HepMC::GenVertex*> >, std::less<HepMC::GenVertex const*>, std::allocator<std::pair<HepMC::GenVertex const* const, HepMC::GenVertex*> > >::_Alloc_node>",5983406,4136255,1847151
"all;athena.py;libG4event",,,
"all;athena.py;libG4event;G4EventManager::StackTracks@plt",429871167,286612683,143258484
"all;athena.py;libG4event;__tls_get_addr@plt",3461322567,1991615337,1469707230
"all;athena.py;libG4event;G4StackManager::GetNUrgentTrack",13051489760,9121837618,3929652142
